candidate_id,created_at,location,years_experience,education_level,primary_role_family,work_authorization
C-ire8qjn,2024-06-08,"Seattle, WA",11,Associate,Finance,US Citizen/PR
C-2flu7u6,2025-07-31,"New York, NY",8,Bootcamp,Finance,F-1 OPT
C-cywd14v,2025-11-12,"Austin, TX",7,Associate,HR,US Citizen/PR
C-mpnsm43,2025-10-07,"Austin, TX",9,Bootcamp,Operations,Other/Unknown
C-zp08j3t,2024-01-28,"New York, NY",3,Bootcamp,Sales,H-1B
C-li7kq1u,2024-11-26,"Chicago, IL",0,Bootcamp,Operations,US Citizen/PR
C-rlrmjkv,2025-10-01,"Palo Alto, CA",2,Associate,Data Analytics,F-1 OPT
C-dzr1yxr,2025-01-11,"Remote, US",3,Bachelors,Data Analytics,H-1B
C-hylurtp,2024-10-09,"Chicago, IL",10,Associate,Operations,H-1B
C-zjjeget,2026-01-14,"Remote, US",3,Masters,Software Engineering,F-1 OPT
C-0jv1v93,2024-09-15,"Palo Alto, CA",5,Masters,Operations,F-1 OPT
C-kzebbk7,2025-10-10,"Chicago, IL",4,Bootcamp,Data Analytics,US Citizen/PR
C-uqpgb7r,2024-11-13,"Remote, US",3,Bachelors,Sales,Other/Unknown
C-cwbfuk9,2025-11-14,"Austin, TX",3,Associate,HR,Other/Unknown
C-v2isqp4,2025-10-25,"New York, NY",4,PhD,Supply Chain,US Citizen/PR
C-v08hhxf,2025-08-30,"Fremont, CA",6,Associate,Data Analytics,F-1 OPT
C-aqvkizz,2025-04-16,"New York, NY",1,Bachelors,Finance,F-1 OPT
C-72wx7pt,2025-05-11,"Chicago, IL",10,Masters,Operations,F-1 OPT
C-cfl0uke,2025-03-17,"Chicago, IL",0,PhD,Finance,Other/Unknown
C-7srcbpl,2025-09-16,"Palo Alto, CA",4,Bachelors,Data Analytics,F-1 OPT
C-84u89yj,2024-03-21,"Austin, TX",3,Masters,Sales,Other/Unknown
C-6gvwrdm,2026-01-05,"Palo Alto, CA",4,PhD,Finance,US Citizen/PR
C-4lyk83t,2024-08-12,"New York, NY",10,Bachelors,Operations,H-1B
C-l8os9xt,2024-02-22,"New York, NY",9,Bachelors,Software Engineering,H-1B
C-wrpbjek,2025-11-14,"Chicago, IL",12,Bootcamp,Data Analytics,US Citizen/PR
C-9vifttd,2024-09-03,"Remote, US",0,Bachelors,Sales,US Citizen/PR
C-xf7kzor,2025-03-14,"New York, NY",1,Masters,Sales,F-1 OPT
C-n7s55j2,2024-10-20,"New York, NY",8,PhD,HR,H-1B
C-3kkv9rf,2024-10-06,"Seattle, WA",6,Bootcamp,Operations,H-1B
C-ttqlgzu,2025-05-25,"Fremont, CA",4,Bootcamp,Data Analytics,H-1B
C-0z3nx39,2026-01-21,"New York, NY",3,Bachelors,Software Engineering,H-1B
C-55psq0o,2024-07-05,"Chicago, IL",6,Masters,Data Analytics,Other/Unknown
C-2jwocly,2024-11-21,"Seattle, WA",8,Bootcamp,Operations,Other/Unknown
C-5bcw790,2025-02-06,"New York, NY",6,Bachelors,HR,US Citizen/PR
C-py6b2kn,2024-12-11,"Fremont, CA",0,Masters,Supply Chain,Other/Unknown
C-u2gc5wi,2025-12-11,"Seattle, WA",5,Masters,Software Engineering,Other/Unknown
C-wqy6qkt,2025-05-03,"Austin, TX",1,Bootcamp,Operations,H-1B
C-xpj4hnr,2024-12-03,"Fremont, CA",11,Bootcamp,Supply Chain,H-1B
C-u9k9xju,2025-10-02,"Chicago, IL",9,Bachelors,Supply Chain,Other/Unknown
C-361i2hg,2024-05-30,"Palo Alto, CA",8,Masters,Finance,US Citizen/PR
C-6xlpu0d,2025-02-18,"Palo Alto, CA",3,PhD,Finance,Other/Unknown
C-get8t63,2024-05-23,"Palo Alto, CA",7,Bootcamp,HR,H-1B
C-0me8f84,2024-12-11,"Chicago, IL",5,Bootcamp,HR,H-1B
C-dojen0j,2024-01-02,"New York, NY",6,PhD,Data Analytics,F-1 OPT
C-qw7lvxw,2024-10-30,"New York, NY",5,PhD,Finance,Other/Unknown
C-ebb9eit,2024-06-08,"New York, NY",7,Bootcamp,Operations,Other/Unknown
C-v05x4w7,2024-01-09,"Palo Alto, CA",8,Bachelors,Finance,H-1B
C-hqin9n6,2024-07-26,"Chicago, IL",0,PhD,Data Analytics,Other/Unknown
C-j883dhx,2024-05-10,"Austin, TX",3,Bachelors,HR,H-1B
C-ieuc1hh,2025-11-03,"Remote, US",9,Masters,Operations,F-1 OPT
C-2vj99t2,2025-09-19,"Austin, TX",5,Bachelors,Software Engineering,US Citizen/PR
C-m2vajep,2024-08-14,"Austin, TX",8,Bachelors,Sales,Other/Unknown
C-2sds8b2,2024-04-21,"Remote, US",6,Associate,Operations,Other/Unknown
C-xb94pdz,2024-12-03,"New York, NY",2,Bachelors,Data Analytics,H-1B
C-vcjwtl9,2025-12-06,"Seattle, WA",9,PhD,Sales,Other/Unknown
C-dz4x1zh,2025-11-11,"New York, NY",10,Masters,Sales,H-1B
C-3o0llj8,2024-06-09,"Chicago, IL",4,Bootcamp,Data Analytics,US Citizen/PR
C-3dd03uv,2025-05-18,"Seattle, WA",3,Associate,Operations,US Citizen/PR
C-o57p6bk,2025-01-26,"Palo Alto, CA",6,PhD,Data Analytics,F-1 OPT
C-fr4muek,2024-02-02,"Fremont, CA",8,Bootcamp,HR,US Citizen/PR
C-vxybj17,2025-11-18,"Palo Alto, CA",4,Bachelors,Software Engineering,F-1 OPT
C-uofwb0h,2025-01-09,"New York, NY",1,Bootcamp,Operations,F-1 OPT
C-nz1udbf,2024-01-22,"Seattle, WA",8,Bachelors,Finance,US Citizen/PR
C-jxrpj1e,2024-10-09,"New York, NY",4,Bachelors,Operations,Other/Unknown
C-slh9bh8,2024-01-27,"Remote, US",5,Masters,HR,H-1B
C-kerpeti,2024-10-10,"Seattle, WA",10,PhD,Data Analytics,Other/Unknown
C-5ba75uu,2025-04-25,"Chicago, IL",7,Bootcamp,Operations,US Citizen/PR
C-o8g8qyn,2025-10-20,"New York, NY",1,Bachelors,Software Engineering,Other/Unknown
C-vsolmlg,2025-05-30,"Seattle, WA",5,Bachelors,Supply Chain,F-1 OPT
C-6m033if,2024-01-17,"Fremont, CA",4,Masters,Supply Chain,F-1 OPT
C-1xg1r11,2024-06-20,"New York, NY",4,Associate,Finance,H-1B
C-5wfcpkj,2026-01-14,"Austin, TX",7,PhD,Supply Chain,US Citizen/PR
C-lqc3c54,2024-02-06,"Seattle, WA",4,Associate,Supply Chain,Other/Unknown
C-qt26q3x,2024-06-29,"Palo Alto, CA",7,Associate,Sales,F-1 OPT
C-8q349dx,2025-08-29,"Austin, TX",1,Masters,Finance,Other/Unknown
C-9svn7n1,2024-06-09,"Chicago, IL",0,Associate,Data Analytics,H-1B
C-cdyk0x6,2024-09-12,"Remote, US",0,Masters,Operations,US Citizen/PR
C-ufm8zov,2026-01-04,"Austin, TX",3,PhD,Supply Chain,Other/Unknown
C-xlez896,2025-07-19,"Austin, TX",7,Bootcamp,Supply Chain,H-1B
C-al8m1g9,2025-09-17,"Fremont, CA",12,Bachelors,Operations,US Citizen/PR
C-st0sx5w,2024-10-14,"Seattle, WA",0,Bootcamp,Software Engineering,F-1 OPT
C-gyw6zbn,2025-09-30,"Chicago, IL",10,Masters,Sales,H-1B
C-12ii826,2024-06-03,"Fremont, CA",0,PhD,Finance,Other/Unknown
C-qkns832,2024-04-13,"Fremont, CA",0,PhD,Data Analytics,Other/Unknown
C-5td44k1,2025-01-27,"Palo Alto, CA",1,Bootcamp,Supply Chain,F-1 OPT
C-3d6357o,2025-04-21,"New York, NY",10,Associate,Operations,F-1 OPT
C-ncildzm,2025-11-12,"Fremont, CA",7,Masters,Data Analytics,H-1B
C-7r31qw6,2025-02-11,"Austin, TX",7,PhD,Software Engineering,F-1 OPT
C-t0sekkb,2025-06-08,"New York, NY",0,Associate,Sales,US Citizen/PR
C-d6vasif,2025-05-26,"New York, NY",6,Bachelors,Supply Chain,H-1B
C-ioxd9cs,2025-02-03,"Seattle, WA",5,Associate,Supply Chain,US Citizen/PR
C-oqw9ja2,2025-12-27,"Palo Alto, CA",3,Masters,Finance,US Citizen/PR
C-10lbt3g,2024-02-20,"Remote, US",14,Bootcamp,Finance,Other/Unknown
C-w3c1qkb,2024-05-04,"Fremont, CA",0,Bachelors,Operations,H-1B
C-s9tj1gm,2024-05-29,"Remote, US",3,Bachelors,HR,H-1B
C-j2pop8m,2025-11-22,"Fremont, CA",5,Bootcamp,Finance,Other/Unknown
C-n2jcpp9,2025-11-12,"Fremont, CA",3,Associate,Operations,H-1B
C-dlkqzfp,2025-03-19,"New York, NY",9,Bachelors,Finance,H-1B
C-wpx2cyo,2025-09-04,"Seattle, WA",11,Masters,Data Analytics,F-1 OPT
C-4ypeixn,2025-09-11,"Seattle, WA",5,Bachelors,Supply Chain,F-1 OPT
C-y8n1uto,2024-01-05,"Chicago, IL",9,PhD,Software Engineering,US Citizen/PR
C-ags6e1z,2024-12-15,"Fremont, CA",4,Associate,Operations,Other/Unknown
C-hecgz93,2024-02-16,"Remote, US",1,PhD,Finance,H-1B
C-ztkkfzz,2025-10-17,"Fremont, CA",6,PhD,Supply Chain,F-1 OPT
C-ehe2atn,2024-09-25,"Remote, US",4,Associate,Software Engineering,US Citizen/PR
C-cozroou,2025-08-26,"Fremont, CA",3,PhD,Finance,US Citizen/PR
C-qym52xg,2024-02-27,"Fremont, CA",1,Bootcamp,Supply Chain,US Citizen/PR
C-3skf7i8,2024-02-27,"Seattle, WA",11,PhD,HR,US Citizen/PR
C-jwtekts,2025-09-25,"Fremont, CA",3,Associate,Supply Chain,F-1 OPT
C-gw6m7b5,2025-09-29,"Austin, TX",2,Bachelors,Finance,H-1B
C-x1oxrwk,2024-04-27,"Palo Alto, CA",8,Bootcamp,Software Engineering,Other/Unknown
C-kccprhv,2024-09-28,"Palo Alto, CA",10,PhD,Finance,H-1B
C-9enulqj,2024-07-07,"Fremont, CA",6,Masters,Data Analytics,US Citizen/PR
C-knwi5fl,2024-09-03,"Seattle, WA",11,PhD,Software Engineering,F-1 OPT
C-rsrla8s,2024-03-16,"Fremont, CA",0,Masters,Supply Chain,H-1B
C-bkv4yka,2024-03-26,"Austin, TX",5,Bootcamp,Software Engineering,H-1B
C-01nouht,2025-11-27,"Austin, TX",2,Bootcamp,Supply Chain,Other/Unknown
C-1k9ye9o,2024-02-16,"Remote, US",3,PhD,Supply Chain,H-1B
C-1hssbel,2024-04-03,"New York, NY",6,Associate,Sales,F-1 OPT
C-vslwf90,2024-07-22,"Palo Alto, CA",8,Associate,Operations,Other/Unknown
C-zk3ny9v,2024-08-05,"Remote, US",7,Bachelors,Supply Chain,Other/Unknown
C-jx8uibr,2025-09-03,"Seattle, WA",7,Associate,HR,Other/Unknown
C-fyb8dal,2024-10-15,"Fremont, CA",13,Bootcamp,Finance,F-1 OPT
C-o1750ce,2026-01-31,"Fremont, CA",3,Associate,Operations,Other/Unknown
C-slg6mm1,2025-06-05,"Chicago, IL",5,PhD,Supply Chain,Other/Unknown
C-giui9kk,2024-11-20,"Fremont, CA",8,Bootcamp,Operations,Other/Unknown
C-m72jeyn,2025-05-30,"New York, NY",7,PhD,HR,F-1 OPT
C-kkzmpjr,2024-09-14,"Fremont, CA",5,Associate,Operations,H-1B
C-ewviytw,2025-05-11,"Austin, TX",6,Bachelors,Sales,H-1B
C-zd1at7o,2025-10-25,"New York, NY",8,Bootcamp,Finance,F-1 OPT
C-1kkc1xi,2025-11-20,"Chicago, IL",0,Bachelors,Software Engineering,Other/Unknown
C-5g79or7,2025-11-21,"Remote, US",5,PhD,Data Analytics,US Citizen/PR
C-kv7mqxs,2025-03-02,"Fremont, CA",4,Associate,Sales,H-1B
C-gefqjg0,2025-02-20,"Remote, US",7,PhD,Supply Chain,F-1 OPT
C-g463sdy,2024-06-16,"Fremont, CA",3,Masters,Sales,H-1B
C-7anqjlu,2025-08-27,"Seattle, WA",5,Bachelors,Operations,H-1B
C-ycelos6,2025-08-24,"Chicago, IL",0,PhD,Finance,US Citizen/PR
C-w7nh8rq,2024-07-14,"Seattle, WA",1,PhD,Sales,Other/Unknown
C-1231yv2,2025-05-15,"Seattle, WA",7,Bootcamp,Supply Chain,H-1B
C-cuctsuf,2025-01-10,"Palo Alto, CA",4,Associate,Sales,US Citizen/PR
C-yzr6qce,2025-02-23,"New York, NY",6,Bootcamp,Supply Chain,US Citizen/PR
C-uylajah,2025-11-06,"Austin, TX",4,Bachelors,Sales,H-1B
C-ztc69qk,2025-01-28,"Fremont, CA",11,Masters,HR,Other/Unknown
C-n6q7nc8,2026-01-08,"Remote, US",0,Associate,Software Engineering,H-1B
C-e9oe941,2025-11-19,"Palo Alto, CA",2,Bootcamp,Finance,Other/Unknown
C-t3imj70,2024-04-05,"Austin, TX",6,Bachelors,HR,Other/Unknown
C-w76icvq,2025-10-25,"Chicago, IL",5,Bachelors,Software Engineering,US Citizen/PR
C-oih5csk,2025-01-03,"Remote, US",9,Associate,Operations,H-1B
C-i59soju,2025-11-25,"Seattle, WA",8,Masters,Finance,Other/Unknown
C-ubmxnsz,2024-09-29,"New York, NY",8,Masters,Operations,Other/Unknown
C-gtii4fq,2024-03-02,"Austin, TX",0,Associate,Sales,Other/Unknown
C-ueihx74,2025-01-31,"Austin, TX",4,Associate,Finance,F-1 OPT
C-bnvbc2v,2025-11-29,"Chicago, IL",6,Associate,Software Engineering,Other/Unknown
C-h6k6hg0,2026-01-04,"Chicago, IL",4,Bootcamp,Software Engineering,F-1 OPT
C-oilkqxl,2025-01-18,"Palo Alto, CA",0,Associate,Sales,Other/Unknown
C-d9q46no,2024-05-23,"Seattle, WA",0,Masters,Finance,F-1 OPT
C-atvzkhi,2024-03-09,"Seattle, WA",0,Masters,Sales,H-1B
C-j38xrg2,2025-04-13,"Fremont, CA",0,Masters,Finance,Other/Unknown
C-g698s4c,2025-04-28,"Remote, US",12,Bachelors,HR,US Citizen/PR
C-o4izasn,2026-01-20,"Seattle, WA",6,Associate,Sales,Other/Unknown
C-atoaztk,2025-08-10,"Seattle, WA",8,Bootcamp,HR,F-1 OPT
C-ddfgs3j,2024-09-09,"New York, NY",6,Bachelors,Operations,Other/Unknown
C-qizk3c9,2024-08-17,"Chicago, IL",5,Bachelors,Data Analytics,Other/Unknown
C-ntcagrp,2024-06-18,"Remote, US",2,PhD,Supply Chain,US Citizen/PR
C-67i6yuj,2025-01-27,"Austin, TX",7,PhD,Supply Chain,US Citizen/PR
C-g4ahf33,2025-05-31,"Austin, TX",8,PhD,Software Engineering,F-1 OPT
C-u4ytn02,2024-01-29,"Chicago, IL",0,Bachelors,Supply Chain,H-1B
C-bp4m18o,2025-05-14,"Remote, US",0,PhD,Data Analytics,H-1B
C-2qitngv,2025-10-18,"New York, NY",2,Bachelors,HR,H-1B
C-2zcfzw0,2025-02-18,"Palo Alto, CA",10,PhD,Data Analytics,US Citizen/PR
C-almjegq,2025-03-20,"Seattle, WA",10,Associate,Sales,US Citizen/PR
C-amdvlnk,2025-12-14,"New York, NY",1,Bachelors,Finance,F-1 OPT
C-ugnekrc,2025-06-14,"New York, NY",4,PhD,Sales,H-1B
C-rcjiwvh,2025-10-14,"Austin, TX",0,Masters,Operations,US Citizen/PR
C-8lw2lm3,2026-01-23,"Remote, US",2,Associate,Software Engineering,H-1B
C-l8hl88k,2025-04-20,"Chicago, IL",4,Bootcamp,Supply Chain,F-1 OPT
C-lk2n7h9,2025-03-31,"Fremont, CA",6,Associate,Data Analytics,Other/Unknown
C-7h23c42,2024-01-01,"Chicago, IL",1,Bootcamp,Software Engineering,H-1B
C-ixz2c9r,2025-01-21,"New York, NY",6,Associate,Supply Chain,Other/Unknown
C-t2m6twd,2024-07-09,"Remote, US",5,Masters,Finance,H-1B
C-fwuxx8l,2025-05-22,"Remote, US",7,Bootcamp,Data Analytics,US Citizen/PR
C-dh0uyhn,2024-04-26,"New York, NY",3,Associate,Finance,F-1 OPT
C-mado8e7,2024-05-13,"Fremont, CA",0,PhD,Operations,H-1B
C-qhrrpzl,2024-03-20,"Palo Alto, CA",7,Bachelors,HR,US Citizen/PR
C-amd270s,2024-07-31,"Seattle, WA",6,Masters,Operations,Other/Unknown
C-8iogxpb,2025-02-05,"Seattle, WA",5,Masters,Sales,Other/Unknown
C-nzh13cd,2024-02-16,"Remote, US",10,Associate,Software Engineering,H-1B
C-lqj5sxv,2025-02-18,"Seattle, WA",8,Bootcamp,Supply Chain,US Citizen/PR
C-m4w3zkw,2025-05-27,"Austin, TX",9,Masters,Operations,US Citizen/PR
C-ienfnvu,2025-10-17,"New York, NY",12,Masters,Sales,F-1 OPT
C-trflqbm,2025-04-15,"Austin, TX",13,Bootcamp,Software Engineering,F-1 OPT
C-38sryo4,2024-01-08,"New York, NY",1,Masters,Data Analytics,US Citizen/PR
C-2hbik2u,2024-05-01,"Remote, US",4,Bootcamp,Supply Chain,US Citizen/PR
C-ujt9t11,2025-11-28,"New York, NY",0,Associate,Software Engineering,Other/Unknown
C-d31k9qm,2024-11-11,"Remote, US",1,Bachelors,Sales,US Citizen/PR
C-1i3vmzw,2024-02-10,"Fremont, CA",5,Associate,Software Engineering,F-1 OPT
C-32utvg9,2026-01-09,"Palo Alto, CA",0,PhD,Supply Chain,H-1B
C-8s63e1o,2025-12-24,"Austin, TX",6,PhD,HR,F-1 OPT
C-zefli4o,2025-04-05,"Fremont, CA",1,Associate,Finance,H-1B
C-wnc21o0,2025-07-11,"Chicago, IL",6,PhD,Sales,Other/Unknown
C-la100qx,2025-06-30,"Palo Alto, CA",7,Bachelors,HR,Other/Unknown
C-hphj3mu,2025-03-25,"Seattle, WA",10,Bootcamp,HR,H-1B
C-61bw4a7,2024-01-10,"Fremont, CA",9,Bootcamp,Sales,US Citizen/PR
C-9p965k5,2024-08-11,"Palo Alto, CA",3,Bachelors,Finance,H-1B
C-jn6fokz,2024-08-26,"Fremont, CA",6,Bootcamp,Finance,US Citizen/PR
C-zareiya,2024-03-03,"Chicago, IL",0,PhD,HR,US Citizen/PR
C-9pecn0d,2024-08-04,"Palo Alto, CA",4,PhD,Operations,F-1 OPT
C-n35xycu,2024-04-08,"Seattle, WA",9,Masters,Sales,H-1B
C-0wfoy4d,2025-05-25,"Austin, TX",4,Masters,HR,US Citizen/PR
C-vn8lfjd,2025-06-01,"Seattle, WA",4,Associate,Supply Chain,H-1B
C-2y4xkss,2025-04-20,"Chicago, IL",5,Bootcamp,Operations,US Citizen/PR
C-22iniwc,2025-07-18,"Austin, TX",5,PhD,Operations,F-1 OPT
C-n4ptgq9,2025-11-07,"Austin, TX",2,Bachelors,Supply Chain,US Citizen/PR
C-ah78okz,2024-03-25,"Remote, US",10,Bootcamp,Sales,Other/Unknown
C-ctwjlsh,2024-03-18,"Remote, US",2,Masters,Supply Chain,H-1B
C-ow4ycz0,2025-11-15,"Remote, US",1,Masters,Data Analytics,F-1 OPT
C-dpqvl00,2025-12-17,"Austin, TX",6,Bachelors,Finance,F-1 OPT
C-zf8s2zg,2025-05-02,"Fremont, CA",3,PhD,Finance,US Citizen/PR
C-1b3jczu,2024-02-03,"Austin, TX",1,Bootcamp,Sales,H-1B
C-b4gf16y,2024-06-02,"Austin, TX",3,Masters,Finance,US Citizen/PR
C-b5iqnf7,2024-09-06,"Remote, US",11,Bachelors,Supply Chain,Other/Unknown
C-ii6l3ue,2024-11-01,"Chicago, IL",5,Bachelors,Software Engineering,F-1 OPT
C-298cqk4,2024-09-24,"Palo Alto, CA",2,Bachelors,Supply Chain,Other/Unknown
C-ahukwqv,2024-07-25,"New York, NY",15,Masters,Finance,F-1 OPT
C-f7atwya,2024-08-16,"Palo Alto, CA",10,Bachelors,HR,Other/Unknown
C-40dtirc,2025-03-10,"Fremont, CA",8,PhD,Data Analytics,US Citizen/PR
C-76szn9d,2024-04-12,"Austin, TX",9,Associate,Software Engineering,Other/Unknown
C-cup8ijl,2024-11-30,"Remote, US",0,Bootcamp,Finance,H-1B
C-ljch2vf,2025-03-10,"Fremont, CA",3,Bootcamp,Sales,H-1B
C-ot8hlje,2024-06-14,"Fremont, CA",7,PhD,HR,US Citizen/PR
C-h4fz8ob,2025-04-25,"Palo Alto, CA",3,PhD,HR,F-1 OPT
C-boq0iq2,2026-01-28,"Fremont, CA",10,Bachelors,Data Analytics,US Citizen/PR
C-39e3nwx,2024-04-15,"Seattle, WA",0,Associate,Operations,US Citizen/PR
C-ac6pe63,2024-03-09,"Palo Alto, CA",4,Bachelors,Data Analytics,Other/Unknown
C-b7p0rnp,2025-06-29,"Palo Alto, CA",0,Masters,Software Engineering,H-1B
C-k5bwiko,2024-05-05,"Seattle, WA",9,Bootcamp,Data Analytics,US Citizen/PR
C-keh5sw2,2026-01-16,"Remote, US",0,Bachelors,Sales,H-1B
C-r2mulja,2024-04-20,"Seattle, WA",8,Masters,Data Analytics,H-1B
C-c9t199d,2026-01-30,"Chicago, IL",14,Masters,Operations,US Citizen/PR
C-18u9n79,2025-01-08,"Fremont, CA",0,Masters,Software Engineering,H-1B
C-3z6bz8u,2025-06-03,"Seattle, WA",7,Masters,HR,Other/Unknown
C-tgbcvar,2024-10-07,"Palo Alto, CA",1,Associate,Software Engineering,F-1 OPT
C-mg25cfz,2024-07-13,"Fremont, CA",5,Bachelors,HR,H-1B
C-8n7odke,2025-11-02,"Fremont, CA",9,Bootcamp,HR,Other/Unknown
C-xg8y72i,2024-03-01,"Seattle, WA",2,Masters,Sales,H-1B
C-0kgazu4,2025-06-17,"Remote, US",1,Associate,Data Analytics,F-1 OPT
C-v78hu7f,2025-02-08,"Chicago, IL",11,Bachelors,Software Engineering,H-1B
C-9g5dzx5,2025-06-07,"New York, NY",14,Bachelors,Operations,F-1 OPT
C-icjdan0,2024-12-11,"Fremont, CA",0,Bootcamp,Sales,Other/Unknown
C-mn32u1i,2024-09-05,"New York, NY",0,Bachelors,HR,US Citizen/PR
C-kl8cgn0,2024-02-16,"Seattle, WA",2,Bachelors,Operations,Other/Unknown
C-zpxvpbl,2024-12-15,"Fremont, CA",5,Bootcamp,Finance,H-1B
C-xkdotrb,2024-04-16,"Austin, TX",8,Bootcamp,Data Analytics,H-1B
C-3wrdhw9,2025-09-16,"New York, NY",2,Bachelors,Operations,Other/Unknown
C-q6jxnnn,2024-09-09,"Fremont, CA",5,Bootcamp,Data Analytics,H-1B
C-pj4ufzd,2024-02-25,"Chicago, IL",6,PhD,HR,Other/Unknown
C-8vt43pt,2025-12-26,"Remote, US",8,Bootcamp,Supply Chain,F-1 OPT
C-rc6zs62,2024-03-18,"Chicago, IL",1,Associate,Software Engineering,US Citizen/PR
C-8q8ghgb,2024-08-03,"Austin, TX",3,Bootcamp,Software Engineering,F-1 OPT
C-4j66cno,2025-11-29,"Palo Alto, CA",5,PhD,Supply Chain,Other/Unknown
C-7azv2ef,2024-11-07,"Seattle, WA",6,Associate,Supply Chain,US Citizen/PR
