offer_id,application_id,candidate_id,req_id,offered_at,offer_status,comp_band
OFF-ch7ii66,APP-do7yfkpi,C-x7ov6sg,REQ-i2afi4,2025-01-03T00:00:00,Accepted,Band 2
OFF-qq3fvvg,APP-i8fg7s1r,C-indh4sp,REQ-i2afi4,2024-08-05T00:00:00,Accepted,Band 4
OFF-vtu1cf2,APP-65ju7yol,C-8rl5h3g,REQ-jqpxvl,2024-06-09T00:00:00,Accepted,Band 4
OFF-b32cbpd,APP-g46u2slz,C-ljsi3ud,REQ-oqbt55,2025-04-27T00:00:00,Accepted,Band 1
OFF-e5nxta7,APP-epjrf57c,C-m6dteca,REQ-fns88m,2025-09-20T00:00:00,Accepted,Band 3
OFF-r582k8q,APP-470jp8q9,C-kv78rtj,REQ-93rc1y,2024-12-28T00:00:00,Declined,Band 1
OFF-64hiu58,APP-b0x2vvi7,C-qw7lvxw,REQ-m5p39v,2025-10-05T00:00:00,Accepted,Band 3
OFF-qoz5gpl,APP-0tpgok6u,C-2c50b8y,REQ-jo2ilk,2024-06-06T00:00:00,Accepted,Band 1
OFF-zb4cxcp,APP-uxriow2p,C-bsss7kn,REQ-cem8ml,2025-05-15T00:00:00,Accepted,Band 4
OFF-7yoapwr,APP-93aopvbw,C-vxh0ei9,REQ-ljrnic,2025-07-14T00:00:00,Accepted,Band 2
OFF-zewshtu,APP-nw2l4k0r,C-kl8cgn0,REQ-fym0tm,2025-05-21T00:00:00,Accepted,Band 2
OFF-htce70u,APP-fljbt8aw,C-6gvwrdm,REQ-vhtnbb,2026-02-27T00:00:00,Declined,Band 1
OFF-e2kr7uu,APP-vj0i4rtq,C-a619q1j,REQ-tyfg2e,2024-05-07T00:00:00,Accepted,Band 1
OFF-zmeuqo5,APP-lym7y6cl,C-iw6l01w,REQ-jo2ilk,2025-05-07T00:00:00,Accepted,Band 2
OFF-y90ak75,APP-n23kjdyv,C-nvqj4u4,REQ-uwr6v3,2025-06-20T00:00:00,Accepted,Band 3
OFF-1e7auw3,APP-lvu53y15,C-7h23c42,REQ-momcw0,2025-12-17T00:00:00,Declined,Band 3
OFF-x7kh7z1,APP-nwytau73,C-jz5eicu,REQ-9qkjfp,2025-02-16T00:00:00,Accepted,Band 3
OFF-51tscqc,APP-ht693i6h,C-8xtr5ig,REQ-ehho0a,2025-05-15T00:00:00,Accepted,Band 3
OFF-fvrym7o,APP-a2obx9xk,C-a86477t,REQ-mnimch,2024-09-27T00:00:00,Declined,Band 4
OFF-kx13xcp,APP-bmzdd2fj,C-jsxfoh9,REQ-rforgc,2024-06-03T00:00:00,Accepted,Band 3
OFF-srwzvtl,APP-0t273eql,C-7otb85v,REQ-tyfg2e,2025-09-21T00:00:00,Accepted,Band 1
OFF-98mbj1c,APP-faayfain,C-2sds8b2,REQ-57ote0,2026-02-11T00:00:00,Declined,Band 3
OFF-nacoyr5,APP-j8takuxd,C-ru08l4p,REQ-ptndbb,2024-03-27T00:00:00,Accepted,Band 1
OFF-a0f89jc,APP-hbalhjhj,C-oqe09o8,REQ-ejms73,2025-02-08T00:00:00,Accepted,Band 4
OFF-hj7n2vz,APP-z8y23m9d,C-2j8z8do,REQ-g2k87b,2025-05-01T00:00:00,Accepted,Band 2
OFF-b01pfzy,APP-1de1yu96,C-aqvkizz,REQ-at0a57,2025-05-28T00:00:00,Accepted,Band 1
OFF-suh89ds,APP-ju6adqc5,C-eq6yf84,REQ-ugqv2x,2024-07-28T00:00:00,Accepted,Band 1
OFF-rux72y7,APP-vfubo3v1,C-g1cj8pm,REQ-ffkk1m,2024-12-03T00:00:00,Accepted,Band 2
OFF-7se7frz,APP-hpyv8d2c,C-vmk0ple,REQ-2x6msp,2025-11-10T00:00:00,Declined,Band 1
OFF-ier2pj7,APP-vxhx4nwl,C-f2ev4ji,REQ-xr2cs1,2024-03-03T00:00:00,Accepted,Band 4
OFF-vcylror,APP-4mlvw8bo,C-m11r99a,REQ-b8jod5,2025-01-02T00:00:00,Accepted,Band 1
OFF-fd81087,APP-fy1cagq7,C-bm00e9k,REQ-2gk9jy,2025-08-23T00:00:00,Declined,Band 1
OFF-etbt4k5,APP-7gbuhzoc,C-hu97ng0,REQ-g5m61i,2025-02-03T00:00:00,Accepted,Band 1
OFF-e6pko9l,APP-7ryc2te8,C-9fkxzuu,REQ-8bz53g,2025-06-06T00:00:00,Accepted,Band 1
OFF-umzxq7x,APP-wtosvi4d,C-f2dxr6c,REQ-236mkz,2025-11-05T00:00:00,Accepted,Band 2
OFF-vb9riri,APP-wumzt2eo,C-dgbk2l0,REQ-a7hawq,2024-02-07T00:00:00,Accepted,Band 2
OFF-12a4mee,APP-w4spi0vp,C-7viz75u,REQ-tqeaeq,2024-01-23T00:00:00,Accepted,Band 1
OFF-eekrpa4,APP-wlok7gbu,C-jlailhh,REQ-bb6xzp,2024-07-15T00:00:00,Accepted,Band 1
OFF-r8etrn4,APP-3opa59f9,C-noz7qmj,REQ-yiw59o,2024-03-06T00:00:00,Accepted,Band 1
OFF-6ce8uaw,APP-jqt2javy,C-78imoe0,REQ-bb3l5z,2025-06-27T00:00:00,Declined,Band 3
OFF-f46j3ce,APP-ctolqgas,C-h6qihpn,REQ-jucfhh,2024-11-06T00:00:00,Declined,Band 2
OFF-wf61dbi,APP-cm4y2wng,C-hkk54k4,REQ-yyzu05,2025-03-09T00:00:00,Declined,Band 1
OFF-w1qu0xd,APP-jlbfrjsj,C-io1k7f5,REQ-hnxiyy,2024-04-06T00:00:00,Accepted,Band 1
OFF-5880f5n,APP-wutnyjnm,C-sizb25j,REQ-helh91,2025-07-30T00:00:00,Declined,Band 2
OFF-zpvjgjv,APP-dkqbo8pn,C-amdvlnk,REQ-cem8ml,2024-11-29T00:00:00,Accepted,Band 1
OFF-y5c90gw,APP-tl48ornr,C-69hzgop,REQ-gn1f32,2025-12-31T00:00:00,Accepted,Band 2
OFF-2f91pta,APP-8rnmbb3r,C-6ha3vmo,REQ-ehho0a,2025-08-18T00:00:00,Accepted,Band 4
OFF-z5158r9,APP-o0en9uu2,C-boqcpl7,REQ-6umh4g,2024-06-04T00:00:00,Accepted,Band 1
OFF-b5f6fva,APP-dpwc1dnp,C-nsxof6t,REQ-20c5rl,2025-01-02T00:00:00,Declined,Band 1
OFF-lae0fyu,APP-wm5qm2j4,C-jyrdirl,REQ-y93pom,2024-06-22T00:00:00,Declined,Band 1
OFF-i2caodg,APP-tynu5q1o,C-z322kai,REQ-9fyy9v,2025-07-20T00:00:00,Accepted,Band 2
OFF-3q285wv,APP-rsufv3dz,C-mnj8pl3,REQ-e4of63,2025-02-05T00:00:00,Accepted,Band 1
OFF-nwts9pt,APP-avmc0kjy,C-q1cgedb,REQ-etyr9x,2025-02-08T00:00:00,Accepted,Band 2
OFF-6vxoyhk,APP-yevln2v0,C-a787tag,REQ-joj7lz,2025-06-19T00:00:00,Declined,Band 4
OFF-y36om2i,APP-snpfc5a2,C-i3wdnmv,REQ-0xh2me,2025-11-21T00:00:00,Accepted,Band 1
OFF-m23i8nn,APP-xdi0qiv5,C-1aatn20,REQ-6x8w1q,2025-05-02T00:00:00,Accepted,Band 2
OFF-r728mgj,APP-bzwu5cbj,C-nsxof6t,REQ-0dbnsg,2024-02-22T00:00:00,Accepted,Band 3
OFF-kqvj8w4,APP-8xgbde6t,C-100vhmy,REQ-6x8w1q,2024-04-28T00:00:00,Accepted,Band 1
OFF-5j63nc4,APP-jpa9fysr,C-ac6pe63,REQ-oqbt55,2025-07-22T00:00:00,Declined,Band 1
OFF-m7pwuz8,APP-oy77g620,C-dh0uyhn,REQ-8qde12,2025-03-24T00:00:00,Accepted,Band 2
OFF-oyyp2t6,APP-dtoohuai,C-1loqsot,REQ-aq3h8x,2025-02-24T00:00:00,Accepted,Band 1
OFF-syy2770,APP-faqnc442,C-59pgn3s,REQ-aq3h8x,2026-02-19T00:00:00,Accepted,Band 3
OFF-j1bhwud,APP-0gpw2po6,C-j7ktspy,REQ-d6kyb2,2025-02-25T00:00:00,Accepted,Band 1
OFF-3hlemqa,APP-ot087bbm,C-81j67kj,REQ-pmyu2u,2025-05-13T00:00:00,Declined,Band 2
OFF-0cvigu0,APP-jy908qdw,C-84jc755,REQ-036i6q,2025-04-07T00:00:00,Accepted,Band 3
OFF-usxulue,APP-mhebymhr,C-l7u4gp5,REQ-rbxp2i,2024-11-29T00:00:00,Declined,Band 1
OFF-ngc0s1a,APP-8u3j16c7,C-itj5zoo,REQ-y2v58f,2024-10-28T00:00:00,Accepted,Band 1
OFF-ooin7aq,APP-3qftq973,C-t07x5ic,REQ-d6kyb2,2025-07-13T00:00:00,Accepted,Band 1
OFF-p91tcea,APP-xhba14ca,C-337az2b,REQ-doxm7z,2025-09-29T00:00:00,Accepted,Band 3
OFF-wmuasdq,APP-1g22oh8f,C-x2ajgz3,REQ-pr4tw5,2025-08-11T00:00:00,Declined,Band 3
OFF-9al3uct,APP-1ys813h8,C-dcli697,REQ-fpvu2l,2025-09-14T00:00:00,Accepted,Band 1
OFF-78115b2,APP-rp26gfqt,C-9wdjsgg,REQ-0igbv7,2025-01-24T00:00:00,Accepted,Band 3
OFF-temjyx0,APP-hzlqeiro,C-tl9jnts,REQ-e4of63,2024-09-02T00:00:00,Accepted,Band 3
OFF-ygezc57,APP-vr9jk68c,C-batpz00,REQ-jpvwp8,2025-12-07T00:00:00,Declined,Band 4
OFF-afkxqr5,APP-bknkv25u,C-fans5sr,REQ-rforgc,2025-06-01T00:00:00,Accepted,Band 2
OFF-w0srqaa,APP-tnhdaugm,C-a3x8ouz,REQ-r1cgwj,2024-05-23T00:00:00,Accepted,Band 3
OFF-06iouc6,APP-jljvnkyg,C-37zoqmc,REQ-y7e5rx,2025-09-30T00:00:00,Declined,Band 2
OFF-vw8lkak,APP-cztqo9i0,C-gfjmhdn,REQ-v2o2qs,2026-01-16T00:00:00,Accepted,Band 3
OFF-6t3squq,APP-wod6fqbk,C-dgkrjwt,REQ-pr4tw5,2025-06-22T00:00:00,Accepted,Band 1
OFF-9iezma0,APP-m3uxpaen,C-an0jbzu,REQ-23rb1w,2025-07-08T00:00:00,Accepted,Band 1
OFF-uxyhrp8,APP-41rva7mu,C-hhiwfd7,REQ-dv8i96,2025-06-01T00:00:00,Declined,Band 3
OFF-sajrr66,APP-igpd98go,C-c7qk4k6,REQ-dz93i3,2024-12-26T00:00:00,Accepted,Band 3
OFF-r6fkk8d,APP-vk9zw560,C-3dc0vsv,REQ-hh3tt2,2025-09-22T00:00:00,Accepted,Band 1
OFF-2iqaow0,APP-l9xg28md,C-rhhkycq,REQ-x8y4t7,2024-04-22T00:00:00,Accepted,Band 2
OFF-z8w5vvh,APP-jgewj281,C-dv0iqf1,REQ-d52sw6,2024-09-29T00:00:00,Declined,Band 2
OFF-oxnyva1,APP-0sc7sv71,C-hqin9n6,REQ-46derg,2025-04-05T00:00:00,Accepted,Band 1
OFF-cnpr0nj,APP-lwj0gdec,C-m73hc9j,REQ-krqwb9,2025-08-05T00:00:00,Declined,Band 1
OFF-g1g6a4k,APP-opw7a1gq,C-b700ucr,REQ-i37y3d,2025-03-05T00:00:00,Accepted,Band 1
OFF-h8d74o7,APP-zzspa57i,C-qh7ppca,REQ-bb3l5z,2026-02-26T00:00:00,Accepted,Band 2
OFF-66jdac6,APP-s4zbafk1,C-a83ru7m,REQ-1yxi1q,2024-03-01T00:00:00,Accepted,Band 1
OFF-zdbprbq,APP-bv6i2x4o,C-fe0x7h2,REQ-v2o2qs,2024-10-21T00:00:00,Accepted,Band 1
OFF-x0l1vy3,APP-5sb65mzc,C-saldnj7,REQ-k922ln,2025-04-24T00:00:00,Accepted,Band 4
OFF-9me6uzo,APP-gucf1ek6,C-m2q22yo,REQ-krqwb9,2024-11-04T00:00:00,Accepted,Band 1
OFF-fmdpeja,APP-w63x5grn,C-xp323c9,REQ-yiw59o,2024-08-10T00:00:00,Accepted,Band 2
OFF-eay3qlc,APP-7z7s3gw8,C-qs2fnuk,REQ-i47kah,2024-06-07T00:00:00,Declined,Band 3
OFF-kr9hcyh,APP-33hkw1wl,C-bzopso6,REQ-0xh2me,2025-09-05T00:00:00,Accepted,Band 1
OFF-juoy47o,APP-tt4mykkw,C-jwh55he,REQ-h2v9ms,2024-06-16T00:00:00,Accepted,Band 1
OFF-ahg0lp7,APP-rrll5tdx,C-vlqu017,REQ-krqwb9,2025-10-11T00:00:00,Accepted,Band 2
OFF-duv5jq3,APP-czp88yk9,C-ywr7mkg,REQ-glrhhk,2025-09-01T00:00:00,Declined,Band 2
OFF-gleldfl,APP-t1q2sl0l,C-gaybfjh,REQ-2gwlj6,2024-04-14T00:00:00,Accepted,Band 2
OFF-7ayku0y,APP-mqz300wz,C-x8ae0jx,REQ-0py9b7,2024-07-20T00:00:00,Accepted,Band 2
OFF-d3r5g41,APP-vm9r66eb,C-hsltdkv,REQ-pviddy,2024-03-09T00:00:00,Accepted,Band 4
OFF-i5kbqpv,APP-80ocgn7d,C-xlaxhno,REQ-rr7fie,2024-03-03T00:00:00,Accepted,Band 1
OFF-ghf55a3,APP-322xwdb0,C-2rrtxvf,REQ-1yxi1q,2025-10-12T00:00:00,Accepted,Band 3
OFF-91u3zju,APP-ia2qnjxj,C-99zzcra,REQ-j74q7s,2024-02-12T00:00:00,Accepted,Band 1
OFF-cun4e6u,APP-np5ghltj,C-ugnekrc,REQ-yiw59o,2025-11-14T00:00:00,Declined,Band 2
OFF-846bnn7,APP-7yp1hgil,C-0spo3zd,REQ-e4of63,2025-11-09T00:00:00,Declined,Band 1
OFF-f3b43sl,APP-s3m0jg4q,C-u4ytn02,REQ-8sdqw5,2024-06-13T00:00:00,Accepted,Band 2
OFF-4plichg,APP-nza4yd2l,C-almjegq,REQ-ydjixl,2024-09-20T00:00:00,Accepted,Band 3
OFF-voh59nb,APP-zsu212yk,C-4xyjoa2,REQ-66fb81,2024-02-26T00:00:00,Accepted,Band 1
OFF-vucneix,APP-ht47e3b4,C-fwuxx8l,REQ-236mkz,2024-10-01T00:00:00,Accepted,Band 1
OFF-jk034ek,APP-axymflhb,C-ra1361b,REQ-3366sq,2024-09-01T00:00:00,Declined,Band 2
OFF-f60duc9,APP-g2mvkgce,C-0tj2t9o,REQ-d8iqwf,2025-07-18T00:00:00,Declined,Band 1
OFF-md0dmwh,APP-r3bfkbff,C-cwbfuk9,REQ-esne8q,2025-10-26T00:00:00,Declined,Band 3
OFF-o1ne3fd,APP-yv8b80c3,C-ycelos6,REQ-e5jq4j,2025-07-07T00:00:00,Accepted,Band 3
OFF-dlhaw9q,APP-r26uu6df,C-o4gkwwj,REQ-slqbw6,2026-02-18T00:00:00,Accepted,Band 3
OFF-nkwseus,APP-0pje7kf0,C-79gqqqj,REQ-jzae55,2024-04-21T00:00:00,Declined,Band 2
OFF-ya0wvea,APP-ni7rwwrj,C-jrhe45j,REQ-joj7lz,2024-03-23T00:00:00,Accepted,Band 2
OFF-f9gltsp,APP-6gpe34jl,C-as1ssrk,REQ-ejms73,2025-11-09T00:00:00,Accepted,Band 1
OFF-9jwotaw,APP-ncibsxim,C-oldxb7g,REQ-8zitzh,2025-09-08T00:00:00,Accepted,Band 2
OFF-xobun82,APP-osu78v59,C-b7p0rnp,REQ-x8y4t7,2025-12-01T00:00:00,Accepted,Band 2
OFF-t18xrz2,APP-fdepcvs4,C-urbjsad,REQ-p7rn3j,2025-10-06T00:00:00,Accepted,Band 4
OFF-su8zsb0,APP-d66dexif,C-reasfen,REQ-ugqv2x,2026-02-21T00:00:00,Accepted,Band 4
OFF-fetxg3b,APP-h7uybm2d,C-rh7cjje,REQ-5t27fz,2025-12-18T00:00:00,Accepted,Band 3
OFF-6mavd2o,APP-bndsl3be,C-vsyjafc,REQ-w8do3p,2024-05-23T00:00:00,Accepted,Band 2
OFF-o8pa5o3,APP-zda9qlhx,C-xujjcse,REQ-7jjfum,2025-05-04T00:00:00,Accepted,Band 2
OFF-kc98d6q,APP-waalxvgp,C-n4ptgq9,REQ-jo2ilk,2024-09-17T00:00:00,Declined,Band 3
OFF-hy5iyes,APP-ak43mu2k,C-ohc7tbh,REQ-esne8q,2024-10-31T00:00:00,Accepted,Band 3
OFF-y3z8ix8,APP-yhyw3nrq,C-m5loipz,REQ-736mv3,2024-06-29T00:00:00,Accepted,Band 3
OFF-yvnuqew,APP-gbsvo9k3,C-p0kzupn,REQ-helh91,2024-02-09T00:00:00,Accepted,Band 1
OFF-lxnx3bn,APP-h6ip6c9n,C-rp7b4hj,REQ-6ljxe6,2024-05-31T00:00:00,Accepted,Band 3
OFF-6782co4,APP-j2vngjdt,C-6awkzcz,REQ-2pajn3,2024-09-14T00:00:00,Declined,Band 2
OFF-u4j5g2l,APP-z1780zde,C-a2f9to0,REQ-w6giok,2025-04-15T00:00:00,Declined,Band 2
OFF-4rbvg2b,APP-gppg9i2v,C-sbrebnd,REQ-g5m61i,2025-06-23T00:00:00,Declined,Band 3
OFF-x88yact,APP-cpwl6bmb,C-xxk509y,REQ-pmyu2u,2024-09-27T00:00:00,Accepted,Band 2
OFF-ia943df,APP-21ucrg0g,C-bz8gicr,REQ-hh3tt2,2025-04-17T00:00:00,Declined,Band 2
OFF-7hi4cl5,APP-kl1jovog,C-tblbhk1,REQ-tqeaeq,2025-01-31T00:00:00,Accepted,Band 2
OFF-h6cx5b1,APP-45mptbgz,C-yn2w8g4,REQ-g5m61i,2026-01-03T00:00:00,Accepted,Band 2
OFF-e5tpt0e,APP-363ey89z,C-ydc14zs,REQ-g5m61i,2025-07-19T00:00:00,Accepted,Band 1
OFF-crbtlqg,APP-61ctaijq,C-6g8e24r,REQ-5tpwy0,2025-12-29T00:00:00,Declined,Band 2
OFF-szop9gs,APP-iff6wh8x,C-f86hogd,REQ-6ljxe6,2025-11-04T00:00:00,Accepted,Band 2
OFF-k10l7i6,APP-5gon7rfv,C-g698s4c,REQ-7ly6yv,2024-09-14T00:00:00,Accepted,Band 2
OFF-8umrkf1,APP-gb4f0gjh,C-xyk2e58,REQ-ljrnic,2025-05-02T00:00:00,Accepted,Band 3
OFF-etyu57n,APP-uabd645g,C-oj3e0qq,REQ-2gk9jy,2025-08-05T00:00:00,Accepted,Band 1
OFF-6i3hgcr,APP-m4ofwz8j,C-hugxns8,REQ-pr4tw5,2024-09-09T00:00:00,Accepted,Band 3
OFF-uwn84g1,APP-mx74xutz,C-xafsumu,REQ-mnimch,2025-06-11T00:00:00,Accepted,Band 2
OFF-k4xpuwh,APP-47do27q8,C-kv62zll,REQ-6umh4g,2024-06-25T00:00:00,Accepted,Band 2
OFF-1oqvl78,APP-3qnxzqfs,C-hpzuyr7,REQ-x8xijp,2024-06-15T00:00:00,Accepted,Band 1
OFF-5y6hmq9,APP-hda56aqy,C-ixz2c9r,REQ-fpvu2l,2024-10-21T00:00:00,Declined,Band 1
OFF-fu7pt03,APP-6f70rtcv,C-4znzze2,REQ-p12uj3,2024-08-21T00:00:00,Accepted,Band 3
OFF-6saaj93,APP-ddhkwlnj,C-fextb7f,REQ-v23u65,2025-04-20T00:00:00,Accepted,Band 1
OFF-h3d7a4v,APP-v82vsnor,C-jzwlsd4,REQ-mnimch,2024-08-25T00:00:00,Accepted,Band 4
OFF-a0ezufn,APP-wi005wdn,C-6m79fmw,REQ-6umh4g,2024-04-23T00:00:00,Accepted,Band 1
OFF-mtgwnwl,APP-erkfcmdz,C-hkshrdg,REQ-helh91,2024-07-05T00:00:00,Accepted,Band 3
OFF-e53ysgu,APP-fpviavbg,C-ugpkakr,REQ-x8xijp,2025-05-14T00:00:00,Accepted,Band 2
OFF-uiyxeo4,APP-tqcf8ytj,C-t994pn8,REQ-jo2ilk,2025-01-07T00:00:00,Accepted,Band 2
OFF-9fpuxha,APP-p4lsvshv,C-6a3kl0n,REQ-wgcuu5,2025-05-19T00:00:00,Accepted,Band 1
OFF-oyydsr2,APP-qoqr7gys,C-28ditmo,REQ-k922ln,2025-12-21T00:00:00,Accepted,Band 2
OFF-namqcs7,APP-xnbywpez,C-0ic0ra6,REQ-cem8ml,2025-06-25T00:00:00,Accepted,Band 1
OFF-ipdjyaw,APP-hcpwy1eq,C-6ynii88,REQ-rforgc,2025-08-28T00:00:00,Accepted,Band 2
OFF-6x2xkv6,APP-c239q45i,C-15zg80z,REQ-9bmay7,2025-12-22T00:00:00,Accepted,Band 2
OFF-s8s51wt,APP-6aiwxest,C-wj8suwu,REQ-p7rn3j,2024-02-12T00:00:00,Accepted,Band 3
OFF-9b4ln2k,APP-jnrjs556,C-sywp0rx,REQ-kbutzi,2025-08-05T00:00:00,Accepted,Band 3
OFF-gz6nlmy,APP-oem0vyrg,C-8b350sg,REQ-dmcs6m,2025-09-13T00:00:00,Declined,Band 2
OFF-mvbnjob,APP-6titugsw,C-54gwdfo,REQ-qthrgu,2024-05-18T00:00:00,Declined,Band 1
OFF-4eqadir,APP-v0i0pyiz,C-22eftix,REQ-p7x80n,2026-02-14T00:00:00,Declined,Band 1
OFF-fylww0x,APP-enhswdf5,C-3o0llj8,REQ-dmcs6m,2025-01-31T00:00:00,Accepted,Band 3
OFF-o68h2al,APP-25f1yupm,C-ixrh6kr,REQ-g2k87b,2024-08-13T00:00:00,Accepted,Band 1
OFF-0dklfz2,APP-s8im3oln,C-kodwh8n,REQ-x8y4t7,2024-03-27T00:00:00,Declined,Band 2
OFF-j29nm8l,APP-4c40irg2,C-gogfxls,REQ-glrhhk,2026-01-18T00:00:00,Declined,Band 1
OFF-hvl8yav,APP-7qsx3zyw,C-jyrdirl,REQ-qthrgu,2025-08-21T00:00:00,Declined,Band 1
OFF-wdum0jx,APP-9w2in2is,C-rgss8k5,REQ-p8v1uc,2025-02-21T00:00:00,Declined,Band 2
OFF-q512eyl,APP-ls4iinis,C-472j8np,REQ-p075hr,2025-01-14T00:00:00,Accepted,Band 2
OFF-j6kc0sn,APP-fpdbx52n,C-wyh36mo,REQ-adbs9c,2025-09-07T00:00:00,Accepted,Band 2
OFF-lppxd35,APP-s8e4p6ih,C-wo8nbhn,REQ-h2v9ms,2025-11-08T00:00:00,Accepted,Band 2
OFF-wk6k46w,APP-rcph399i,C-uak3j16,REQ-ejms73,2025-05-05T00:00:00,Accepted,Band 1
OFF-mtt02gy,APP-92nu5vt8,C-7rv2y7c,REQ-dmcs6m,2025-09-15T00:00:00,Accepted,Band 1
OFF-fatpsrx,APP-1oxm49rx,C-27dcbhh,REQ-ug5l0m,2025-05-15T00:00:00,Accepted,Band 2
OFF-mopqwwm,APP-0t5tk2yn,C-hu97ng0,REQ-dmcs6m,2026-02-19T00:00:00,Accepted,Band 2
OFF-llvhqwx,APP-77nqlops,C-j0kzqvs,REQ-vvt2is,2025-08-05T00:00:00,Accepted,Band 1
OFF-iqlcnvi,APP-qb6j9me1,C-sgohksv,REQ-x8xijp,2024-11-23T00:00:00,Accepted,Band 2
OFF-qtls8l1,APP-opto9nxx,C-2o8zi9v,REQ-i47kah,2025-01-31T00:00:00,Accepted,Band 2
OFF-qx82smj,APP-l7v2iq3a,C-b1mvhmn,REQ-m24bih,2025-12-13T00:00:00,Accepted,Band 1
OFF-7z2ae3o,APP-1pjzl7a0,C-etc543e,REQ-z573vf,2025-12-18T00:00:00,Declined,Band 3
OFF-7ds2fjq,APP-1gfl29k2,C-1bl6f6f,REQ-y93pom,2024-10-10T00:00:00,Declined,Band 2
OFF-elbnxql,APP-ndbtesg1,C-hfe5wmd,REQ-adgs5h,2024-05-05T00:00:00,Accepted,Band 1
OFF-jckkiip,APP-vrn86ell,C-gzw6iz1,REQ-rk4pvi,2024-02-19T00:00:00,Declined,Band 2
OFF-4puzvuu,APP-ykpvilxv,C-qr4zlxb,REQ-dpyta7,2024-10-01T00:00:00,Declined,Band 2
OFF-8uclz3b,APP-a83udqbu,C-bsy3onx,REQ-7ly6yv,2024-12-03T00:00:00,Declined,Band 4
OFF-5xzy6lc,APP-dss13vju,C-p25m9fe,REQ-5g00r5,2025-02-10T00:00:00,Declined,Band 3
OFF-d00gh5w,APP-ieo7d8wk,C-r94sz2k,REQ-8bz53g,2025-05-24T00:00:00,Accepted,Band 1
OFF-lxdlu50,APP-5o86tx1l,C-06moxsf,REQ-57ote0,2025-08-05T00:00:00,Declined,Band 1
OFF-l7g3847,APP-a9z1xed6,C-ttqlgzu,REQ-at0a57,2024-07-23T00:00:00,Accepted,Band 3
OFF-agy51as,APP-xm9kpj58,C-a5vixr4,REQ-g2k87b,2024-10-22T00:00:00,Accepted,Band 3
OFF-u6otwpj,APP-0di3if9f,C-zpzjho4,REQ-hnxiyy,2025-01-11T00:00:00,Accepted,Band 1
OFF-8fv0q3r,APP-esr14grh,C-wpaytxw,REQ-0dbnsg,2025-09-19T00:00:00,Accepted,Band 1
OFF-7gz9r01,APP-qjno8tnv,C-hjo5ctz,REQ-7ly6yv,2025-01-18T00:00:00,Accepted,Band 3
OFF-gq0b3mc,APP-evkencpo,C-amisu1o,REQ-ljrnic,2025-02-08T00:00:00,Accepted,Band 3
OFF-jjc8ji3,APP-oy5d5qn0,C-4b70ldo,REQ-z573vf,2024-10-26T00:00:00,Accepted,Band 1
OFF-8q2nruq,APP-e98lfbva,C-rsrla8s,REQ-0igbv7,2024-02-20T00:00:00,Accepted,Band 2
OFF-dwnyxn6,APP-g45aucao,C-myr06nk,REQ-7381on,2025-09-05T00:00:00,Accepted,Band 1
OFF-2p0n5sd,APP-sx0913re,C-gm5hn1d,REQ-fns88m,2025-07-24T00:00:00,Accepted,Band 1
OFF-4uq4dn3,APP-sd2nk6t2,C-9i8kcmm,REQ-230jns,2024-12-23T00:00:00,Accepted,Band 1
